n,tapers,reading,phase,gain_bits,peak_bucket,byte,node_peak,fade
16384,1,Fold,5,981849596,2095,102,0.400000006,0.399999976
16384,1,Fold,6,0,3827,0,0.000000000,0.199999988
16384,1,Fold,7,0,3827,0,0.000000000,0.000000000
16384,1,Fold,8,0,3827,0,0.000000000,0.000000000
16384,1,Fold,9,0,3827,0,0.000000000,0.000000000
16384,1,Spectrum,0,0,3827,0,0.000000000,0.000000000
16384,1,Spectrum,1,989068892,2095,126,0.498039216,0.000000000
16384,1,Spectrum,2,989068893,2095,126,0.501960814,0.199999988
16384,1,Spectrum,3,985223896,2095,116,0.458823532,0.399999976
16384,1,Spectrum,4,981290661,2095,101,0.403921574,0.599999964
16384,1,Spectrum,5,981290660,2095,101,0.400000006,0.399999976
16384,1,Spectrum,6,0,3827,0,0.000000000,0.199999988
16384,1,Spectrum,7,0,3827,0,0.000000000,0.000000000
16384,1,Spectrum,8,0,3827,0,0.000000000,0.000000000
16384,1,Spectrum,9,0,3827,0,0.000000000,0.000000000
16384,3,Fold,0,0,3827,0,0.000000000,0.000000000
16384,3,Fold,1,987976520,2095,127,0.498039216,0.000000000
16384,3,Fold,2,987976521,2095,128,0.501960814,0.199999988
16384,3,Fold,3,984394192,2095,117,0.458823532,0.399999976
16384,3,Fold,4,980156590,2095,103,0.403921574,0.599999964
16384,3,Fold,5,980156589,2095,102,0.400000006,0.399999976
16384,3,Fold,6,0,3827,0,0.000000000,0.199999988
16384,3,Fold,7,0,3827,0,0.000000000,0.000000000
16384,3,Fold,8,0,3827,0,0.000000000,0.000000000
16384,3,Fold,9,0,3827,0,0.000000000,0.000000000
16384,3,Spectrum,0,0,3827,0,0.000000000,0.000000000
16384,3,Spectrum,1,987941019,2095,127,0.498039216,0.000000000
16384,3,Spectrum,2,987941020,2095,127,0.501960814,0.199999988
16384,3,Spectrum,3,984367227,2095,117,0.458823532,0.399999976
16384,3,Spectrum,4,980119733,2095,102,0.403921574,0.599999964
16384,3,Spectrum,5,980119732,2095,102,0.400000006,0.399999976
16384,3,Spectrum,6,0,3827,0,0.000000000,0.199999988
16384,3,Spectrum,7,0,3827,0,0.000000000,0.000000000
16384,3,Spectrum,8,0,3827,0,0.000000000,0.000000000
16384,3,Spectrum,9,0,3827,0,0.000000000,0.000000000
16384,5,Fold,0,0,3827,0,0.000000000,0.000000000
16384,5,Fold,1,987784973,2095,127,0.498039216,0.000000000
16384,5,Fold,2,987784974,2095,128,0.501960814,0.199999988
16384,5,Fold,3,984248704,2095,117,0.458823532,0.399999976
16384,5,Fold,4,979957730,2095,103,0.403921574,0.599999964
16384,5,Fold,5,979957729,2095,102,0.400000006,0.399999976
16384,5,Fold,6,0,3827,0,0.000000000,0.199999988
